id,businessLineSlug,categorySlug,type,nameEn,nameAr,shortDescEn,shortDescAr,longDescEn,longDescAr,amountMinEgp,amountMaxEgp,tenureMinMonths,tenureMaxMonths,installmentPeriod,flatInterestRatePct,decliningInterestRatePct,adminFeePct,adminFeeMinEgp,adminFeeMaxEgp,insuranceRequired,minDownPaymentPct,earlySettlementFeePct,latePaymentFeePct,isActive
cmjyrdcwo0wc7yif1kkyo3bwc,consumer-financing,auto-loan,AUTO_LOAN,New Economy,الاقتصادية الجديدة,A standard auto loan option.,تمويل السيارات - الباقة القياسية.,"A standard auto loan option, offered at a competitive financing cost with a 20% down payment. A 16.42% flat rate (29.05% declining), terms run 12–36 months, you arrange your own external motor insurance, early settlement isn't available, so it best suits customers planning to keep the facility to term. Finance from EGP 15,000 up to EGP 8,000,000.","تمويل السيارات - الباقة القياسية، ويُقدَّم بتكلفة تمويل تنافسية بمقدم 20%. بمعدل ثابت 16.42% (متناقص 29.05%)، وفترة سداد من 12 إلى 36 شهرًا، مع تأمين خارجي على الأصل يوفّره العميل، السداد المبكر غير متاح، لذا يناسب من ينوي الاستمرار حتى نهاية المدة. تمويل من 15,000 إلى 8,000,000 جنيه.",15000,8000000,12,36,MONTHLY,16.42,29.05,,60000,,TRUE,20,0,10,TRUE
cm56f67h16l7yultserzswll8,consumer-financing,auto-loan,AUTO_LOAN,Economy Plus,الاقتصادية بلس,A standard auto loan option.,تمويل السيارات - الباقة القياسية.,"A standard auto loan option, offered at an above-average cost for added flexibility with a 20% down payment. A 19.06% flat rate (33.5% declining), terms run 12–60 months, you arrange your own external motor insurance, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000.","تمويل السيارات - الباقة القياسية، ويُقدَّم بتكلفة أعلى من المتوسط مقابل مرونة إضافية بمقدم 20%. بمعدل ثابت 19.06% (متناقص 33.5%)، وفترة سداد من 12 إلى 60 شهرًا، مع تأمين خارجي على الأصل يوفّره العميل، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه.",15000,8000000,12,60,MONTHLY,19.06,33.5,,60000,,TRUE,20,3,10,TRUE
cmh7g6thf39iq9z8lt9f4x0sk,consumer-financing,auto-loan,AUTO_LOAN,New Flexible,المرنة الجديدة,A standard auto loan option.,تمويل السيارات - الباقة القياسية.,"A standard auto loan option, offered at an above-average cost for added flexibility with a 20% down payment. A 20.11% flat rate (35.25% declining), terms run 36–60 months, you arrange your own external motor insurance, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000. It also offers a residual/balloon option (up to 25%) to keep monthly installments lower.","تمويل السيارات - الباقة القياسية، ويُقدَّم بتكلفة أعلى من المتوسط مقابل مرونة إضافية بمقدم 20%. بمعدل ثابت 20.11% (متناقص 35.25%)، وفترة سداد من 36 إلى 60 شهرًا، مع تأمين خارجي على الأصل يوفّره العميل، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه. كما يتيح خيار القيمة المتبقية (حتى 25%) لتخفيض القسط الشهري.",15000,8000000,36,60,MONTHLY,20.11,35.25,,60000,,TRUE,20,2,10,TRUE
cm9h7wn9eqnddmxb47sv6riui,consumer-financing,auto-loan,AUTO_LOAN,Flexible Plus,المرنة بلس,A standard auto loan option.,تمويل السيارات - الباقة القياسية.,"A standard auto loan option, offered at a premium cost reflecting maximum flexibility with a 20% down payment. A 21.0% flat rate (36.75% declining), terms run 12–60 months, total-loss cover is built in, so no separate policy is needed, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000. It also offers a residual/balloon option (up to 25%) to keep monthly installments lower.","تمويل السيارات - الباقة القياسية، ويُقدَّم بتكلفة مرتفعة مقابل أقصى مرونة بمقدم 20%. بمعدل ثابت 21.0% (متناقص 36.75%)، وفترة سداد من 12 إلى 60 شهرًا، ويشمل تغطية الخسارة الكلية دون وثيقة منفصلة، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه. كما يتيح خيار القيمة المتبقية (حتى 25%) لتخفيض القسط الشهري.",15000,8000000,12,60,MONTHLY,21,36.75,,60000,,FALSE,20,0,10,TRUE
cmu1r1pgdb6p1xds7qe8yxbeq,consumer-financing,auto-loan,AUTO_LOAN,Corporate,الشركات,A auto loan option built for corporate and business customers.,تمويل السيارات - باقة الشركات.,"A auto loan option built for corporate and business customers, offered at a mid-range cost with a low 10% down payment. A 17.72% flat rate (31.25% declining), terms run 24–60 months, you arrange your own external motor insurance, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000.","تمويل السيارات - باقة الشركات، ويُقدَّم بتكلفة متوسطة بمقدم منخفض 10%. بمعدل ثابت 17.72% (متناقص 31.25%)، وفترة سداد من 24 إلى 60 شهرًا، مع تأمين خارجي على الأصل يوفّره العميل، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه.",15000,8000000,24,60,MONTHLY,17.72,31.25,,60000,,TRUE,10,3,10,TRUE
cm1cxarxbg026p5v0cg9jv4rh,consumer-financing,auto-loan,AUTO_LOAN,Corporate Company Used Car,الشركات سيارات الشركة المستعملة,"A auto loan option built for corporate and business customers, for used vehicles (subject to car-age and mileage limits).","تمويل السيارات - باقة الشركات، للمركبات المستعملة (وفق حدود العمر والكيلومترات).","A auto loan option built for corporate and business customers, for used vehicles (subject to car-age and mileage limits), offered at a mid-range cost with a low 10% down payment. A 17.72% flat rate (31.25% declining), terms run 24–60 months, you arrange your own external motor insurance, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000.","تمويل السيارات - باقة الشركات، للمركبات المستعملة (وفق حدود العمر والكيلومترات)، ويُقدَّم بتكلفة متوسطة بمقدم منخفض 10%. بمعدل ثابت 17.72% (متناقص 31.25%)، وفترة سداد من 24 إلى 60 شهرًا، مع تأمين خارجي على الأصل يوفّره العميل، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه.",15000,8000000,24,60,MONTHLY,17.72,31.25,,60000,,TRUE,10,3,10,TRUE
cmk9twdf8a63g2ixi37rugc14,consumer-financing,auto-loan,AUTO_LOAN,Used Flexible,المستعملة المرنة,"A standard auto loan option, for used vehicles (subject to car-age and mileage limits).","تمويل السيارات - الباقة القياسية، للمركبات المستعملة (وفق حدود العمر والكيلومترات).","A standard auto loan option, for used vehicles (subject to car-age and mileage limits), offered at an above-average cost for added flexibility with a 20% down payment. A 19.51% flat rate (34.25% declining), terms run 12–60 months, total-loss cover is built in, so no separate policy is needed, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000.","تمويل السيارات - الباقة القياسية، للمركبات المستعملة (وفق حدود العمر والكيلومترات)، ويُقدَّم بتكلفة أعلى من المتوسط مقابل مرونة إضافية بمقدم 20%. بمعدل ثابت 19.51% (متناقص 34.25%)، وفترة سداد من 12 إلى 60 شهرًا، ويشمل تغطية الخسارة الكلية دون وثيقة منفصلة، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه.",15000,8000000,12,60,MONTHLY,19.51,34.25,,60000,,FALSE,20,0,10,TRUE
cmzfltn7rohwawy84phjy10mb,consumer-financing,auto-loan,AUTO_LOAN,Corporate - Used,الشركات - المستعملة,"A auto loan option built for corporate and business customers, for used vehicles (subject to car-age and mileage limits).","تمويل السيارات - باقة الشركات، للمركبات المستعملة (وفق حدود العمر والكيلومترات).","A auto loan option built for corporate and business customers, for used vehicles (subject to car-age and mileage limits), offered at a competitive financing cost with a low 10% down payment. A 16.42% flat rate (29.05% declining), terms run 12–60 months, total-loss cover is built in, so no separate policy is needed, early settlement is available. Finance from EGP 15,000 up to EGP 8,000,000.","تمويل السيارات - باقة الشركات، للمركبات المستعملة (وفق حدود العمر والكيلومترات)، ويُقدَّم بتكلفة تمويل تنافسية بمقدم منخفض 10%. بمعدل ثابت 16.42% (متناقص 29.05%)، وفترة سداد من 12 إلى 60 شهرًا، ويشمل تغطية الخسارة الكلية دون وثيقة منفصلة، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 8,000,000 جنيه.",15000,8000000,12,60,MONTHLY,16.42,29.05,,60000,,FALSE,10,10,10,TRUE
cm9fx92ux6si40hhkdhntz4n6,consumer-financing,auto-loan,AUTO_LOAN,Premier,بريمير,A premium (Premier) tier of auto loan.,تمويل السيارات - الفئة المميزة (بريمير).,"A premium (Premier) tier of auto loan, offered at a competitive financing cost with a low 10% down payment. A 16.42% flat rate (29.05% declining), terms run 12–60 months, total-loss cover is built in, so no separate policy is needed, early settlement is available. Finance from EGP 15,000 up to EGP 10,000,000. It also offers a residual/balloon option (up to 40%) to keep monthly installments lower.","تمويل السيارات - الفئة المميزة (بريمير)، ويُقدَّم بتكلفة تمويل تنافسية بمقدم منخفض 10%. بمعدل ثابت 16.42% (متناقص 29.05%)، وفترة سداد من 12 إلى 60 شهرًا، ويشمل تغطية الخسارة الكلية دون وثيقة منفصلة، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 10,000,000 جنيه. كما يتيح خيار القيمة المتبقية (حتى 40%) لتخفيض القسط الشهري.",15000,10000000,12,60,MONTHLY,16.42,29.05,,60000,,FALSE,10,1,10,TRUE
cm0q94xttdpq8r31p354fkkc5,consumer-financing,auto-loan,AUTO_LOAN,Premier - Used,بريمير - المستعملة,"A premium (Premier) tier of auto loan, for used vehicles (subject to car-age and mileage limits).","تمويل السيارات - الفئة المميزة (بريمير)، للمركبات المستعملة (وفق حدود العمر والكيلومترات).","A premium (Premier) tier of auto loan, for used vehicles (subject to car-age and mileage limits), offered at a mid-range cost with a low 10% down payment. A 17.01% flat rate (30.05% declining), terms run 12–60 months, total-loss cover is built in, so no separate policy is needed, early settlement is available. Finance from EGP 15,000 up to EGP 10,000,000.","تمويل السيارات - الفئة المميزة (بريمير)، للمركبات المستعملة (وفق حدود العمر والكيلومترات)، ويُقدَّم بتكلفة متوسطة بمقدم منخفض 10%. بمعدل ثابت 17.01% (متناقص 30.05%)، وفترة سداد من 12 إلى 60 شهرًا، ويشمل تغطية الخسارة الكلية دون وثيقة منفصلة، مع إتاحة السداد المبكر. تمويل من 15,000 إلى 10,000,000 جنيه.",15000,10000000,12,60,MONTHLY,17.01,30.05,,60000,,FALSE,10,1,10,TRUE
